id,title,organization,sector,location,skills,duration,stipend,type,mode
1,Tour Planning Intern,LexGuard Associates,Tourism,Patna,CSS|Content Writing|Digital Marketing|React|SEO|SQL|Tableau,3 months,14000,Private,Offline
2,Policy Research Intern,CivicLink Foundation,Public Policy,Chennai,AutoCAD|C|Content Writing|Excel|Java|Photoshop|Research,2 months,11000,Startup,Hybrid
3,Agri Research Intern,Spectrum Media House,Agriculture,Jaipur,AutoCAD|Data Entry|Excel|Networking|React|Research|SolidWorks|UI/UX,2 months,10500,Govt,Offline
4,Legal Research Intern,PolicyWorks India,Law,Hyderabad,Content Writing|Networking|Research|SPSS|SQL,2 months,4000,PSU,Offline
5,Cyber Risk Intern,AgriNova Collective,Cybersecurity,Kochi,Data Entry|Digital Marketing|Linux|Networking|Photoshop|Python,2 months,14500,Startup,Online
6,Social Media Intern,CivicLink Foundation,Media,Ranchi,AutoCAD|Canva|Content Writing|Digital Marketing|GST|Photoshop|SQL,3 months,14000,PSU,Offline
7,Clinical Research Intern,Spectrum Media House,Healthcare,Patna,C++|Figma|Java|Photoshop|Research|SolidWorks,1 month,11000,NGO,Hybrid
8,Product Design Intern,Insight Finance Group,Design,Guwahati,Canva|Content Writing|Illustrator|SPSS,1 month,11500,PSU,Offline
9,Sustainability Intern,AgriNova Collective,Renewable Energy,Visakhapatnam,AutoCAD|Digital Marketing|Excel|Illustrator|Linux|Research,1 month,9000,NGO,Hybrid
10,Clinical Research Intern,GreenGrowth Initiatives,Healthcare,Guwahati,Content Writing|Excel|Photoshop|SPSS,3 months,12000,Private,Online
11,Travel Operations Intern,LexGuard Associates,Tourism,Mumbai,ArcGIS|AutoCAD|Content Writing|Digital Marketing|Excel|Linux|R|Tableau,1 month,11000,Private,Offline
12,Security Analyst Intern,Spectrum Media House,Cybersecurity,Kolkata,AutoCAD|CSS|Data Entry|Illustrator|Networking|R|React,6 months,8500,PSU,Online
13,Finance Analyst Intern,Spectrum Media House,Finance,Bhopal,C|Data Entry|Power BI|QGIS|SEO|SQL|Typing,3 months,15000,Startup,Online
14,Compliance Intern,Insight Finance Group,Law,Chandigarh,Content Writing|Java|Power BI|Python|React|SQL|Tableau,3 months,5500,Startup,Hybrid
15,Digital Governance Intern,Skyline Innovations,E-Governance,Guwahati,AutoCAD|Content Writing|Networking|Python|Research|SEO|SQL,3 months,10500,PSU,Offline
16,Full Stack Intern,SecureNet Systems,IT,Thiruvananthapuram,CSS|HTML|Java|JavaScript|Linux|Power BI|Python|QGIS|SPSS,2 months,4500,PSU,Hybrid
17,Digital Governance Intern,CivicLink Foundation,E-Governance,Thiruvananthapuram,CSS|Content Writing|Excel|Figma|Photoshop|R,2 months,11000,NGO,Offline
18,Sustainability Intern,Innovate Labs,Renewable Energy,Kochi,AutoCAD|Excel|Figma|Java|Networking|Photoshop|Research|Tally,1 month,7000,PSU,Hybrid
19,Clinical Research Intern,TourEase Travels,Healthcare,Chennai,ArcGIS|Data Entry|HTML|Java|Networking|Python,1 month,13500,Startup,Offline
20,Digital Governance Intern,NextGen Logistics,E-Governance,Ahmedabad,ArcGIS|CSS|Canva|Excel|Figma|Linux|Python|React|Research,6 months,3500,Startup,Offline
21,Agri Research Intern,AgriNova Collective,Agriculture,Bengaluru,Content Writing|Illustrator|SPSS|Tableau,6 months,10000,NGO,Hybrid
22,Agri Research Intern,NextGen Logistics,Agriculture,Chennai,Content Writing|Excel|JavaScript|Power BI|Research|SolidWorks|Tally,1 month,7500,Startup,Online
23,Graphic Design Intern,NextGen Logistics,Design,Bhopal,Digital Marketing|Photoshop|SPSS|Typing,6 months,13500,Govt,Hybrid
24,Cyber Risk Intern,CivicLink Foundation,Cybersecurity,Chandigarh,C++|Digital Marketing|Illustrator|Networking|Tableau,6 months,3000,Govt,Online
25,Tour Planning Intern,EcoVision Energy,Tourism,Chandigarh,C|Content Writing|Excel|GST|Networking|QGIS,2 months,9000,Startup,Hybrid
26,Data Analyst Intern,Spectrum Media House,Data Analytics,Pune,Power BI|R|SQL|Tableau|Typing,1 month,11000,NGO,Offline
